#{"t_start": 1630122293.0748305, "env_id": "ForexEnv-v0"}
r,l,t
-437.335087,400,5.566418
873.830368,400,6.417369
575.197862,400,7.201393
817.369538,400,8.073479
-162.669016,400,9.023718
768.932066,400,9.899695
-192.028087,400,13.570052
697.297901,400,14.471134
1044.913323,400,15.293435
27.243438,400,16.248113
1037.915988,400,17.617339
709.111279,400,18.671875
-363.669514,400,21.917732
-218.642169,400,22.853088
75.293797,400,23.716519
1261.363684,400,24.564259
-284.342496,400,25.405815
724.796005,400,26.266168
-6.726139,400,29.523035
-227.297532,400,30.504677
915.555925,400,31.359452
1412.547208,400,32.349475
438.007067,400,33.470819
472.992494,400,34.518412
456.159187,400,35.504107
-102.240539,400,39.035451
-581.774878,400,40.025068
310.055749,400,40.880912
-237.5893,400,41.752877
-880.661189,400,42.57392
-706.740468,400,43.427191
9.685407,400,46.492124
107.829716,400,47.37019
245.804125,400,48.237358
1825.251731,400,49.082688
1146.819985,400,49.946208
51.995107,400,50.889956
795.16481,400,53.989018
733.392461,400,54.984833
149.623579,400,55.934977
300.139951,400,56.804012
668.101308,400,57.614882
1072.687906,400,58.447375
784.311609,400,61.431142
96.681762,400,62.322328
1105.480276,400,63.120995
950.020907,400,63.978627
31.098259,400,64.771975
-142.275041,400,65.716389
1450.317307,400,66.57743
4.968821,400,69.588633
58.476936,400,70.670722
865.764969,400,71.583115
-286.395495,400,72.476704
177.723221,400,73.260252
624.620488,400,74.204049
450.865641,400,77.599946
1134.082308,400,78.648054
1077.628655,400,79.787997
-351.224517,400,80.716917
1718.392482,400,81.91333
-24.409726,400,82.820976
617.234887,400,86.581735
194.565422,400,87.39999
-564.692016,400,88.423003
-530.128725,400,89.471109
210.219744,400,90.281787
951.823285,400,91.128528
442.3629,400,94.517486
959.535331,400,95.509905
-478.357804,400,96.323348
90.672036,400,97.162534
-365.012156,400,98.2446
250.668531,400,99.185929
-442.739683,400,100.017919
104.788512,400,103.538097
553.51723,400,104.419394
470.829513,400,105.219003
237.224217,400,106.053035
677.226784,400,106.865306
-520.193626,400,107.783124
122.462465,400,110.825699
724.098411,400,111.620536
739.291825,400,112.541148
528.278583,400,113.42026
-489.764812,400,114.488259
-146.758741,400,115.28626
-145.275972,400,118.316086
81.528801,400,119.151086
805.726423,400,120.033086
-146.259661,400,120.863088
532.431711,400,121.670997
99.787212,400,122.506414
531.036043,400,125.506038
-163.848779,400,126.358008
741.204284,400,127.155956
344.167472,400,127.977007
-43.08047,400,128.820146
872.229345,400,129.708258
346.878027,400,130.652348
526.509578,400,133.67105
970.553801,400,134.525049
971.080571,400,135.31005
119.68813,400,136.14705
75.023244,400,136.980049
458.078805,400,137.782049
1019.477465,400,140.869021
-660.691439,400,141.679575
933.132917,400,142.537256
254.525259,400,143.382209
525.711402,400,144.222209
678.631726,400,145.033625
463.809229,400,148.133195
695.525657,400,148.987962
559.648143,400,149.766999
-65.645288,400,150.576032
-43.281806,400,151.382032
1224.248192,400,152.324033
348.643372,400,155.45893
-38.448502,400,156.299965
1164.840171,400,157.119976
-997.749377,400,157.901976
784.576866,400,158.724976
249.182272,400,159.515976
1032.105205,400,160.391138
653.595422,400,163.37514
-79.490534,400,164.290949
-194.410994,400,165.26295
-738.005575,400,166.29695
1087.606917,400,167.11946
542.954415,400,167.91803
1827.960301,400,170.97298
-219.451725,400,171.76598
494.140854,400,172.597827
608.794916,400,173.378004
833.846284,400,174.316427
744.950642,400,175.215004
361.022588,400,178.326087
-56.760064,400,179.217429
-78.160809,400,180.082047
1138.749821,400,181.043634
997.422179,400,181.944632
458.873802,400,182.802348
-341.531768,400,186.776089
-36.345534,400,188.03963
459.829927,400,189.275727
-88.053964,400,190.406919
1000.7076,400,191.601036
425.084337,400,192.692255
-395.052409,400,193.937346
378.703823,400,198.418875
668.716229,400,199.737235
-347.704453,400,201.080472
724.774517,400,202.174014
894.565309,400,203.109082
293.195379,400,203.991085
1458.124422,400,209.623205
6.639341,400,211.091003
2361.432714,400,212.45457
688.603476,400,213.845714
-31.338285,400,215.297824
31.768777,400,216.574882
720.016116,400,221.557134
-582.53524,400,222.841134
-463.085098,400,223.984893
550.097988,400,225.192893
848.614552,400,226.380016
507.436729,400,227.560111
221.215174,400,232.159111
1065.528213,400,233.46011
1738.371453,400,234.826112
830.341624,400,236.02367
904.522456,400,237.417243
-42.840115,400,238.658789
597.167473,400,239.791329
-189.586969,400,244.260061
-218.69292,400,245.62232
122.124373,400,246.93248
695.041982,400,248.15746
161.653218,400,249.418265
755.662644,400,250.589264
927.257583,400,255.306083
1059.677581,400,256.533177
493.880678,400,257.874822
500.705218,400,259.041299
172.013437,400,260.154973
197.026217,400,261.393992
1413.076872,400,265.826107
29.592407,400,267.007286
112.834568,400,268.112949
259.45195,400,269.355462
-122.572472,400,270.426462
467.908762,400,271.741002
-163.845,400,276.139766
142.800005,400,277.352294
971.768682,400,278.551305
17.570939,400,280.105294
706.113701,400,281.550982
936.847676,400,283.219508
10.52879,400,284.586849
-311.8654,400,289.693274
173.224604,400,290.844273
840.676533,400,292.090342
290.644552,400,293.356405
-744.551231,400,294.540049
-448.199377,400,295.758584
464.767948,400,300.056808
950.220477,400,301.141019
765.201397,400,302.323802
-674.741862,400,303.511731
607.708219,400,304.623267
889.817514,400,305.78028
1515.057711,400,310.695129
1342.682013,400,311.991688
360.54356,400,313.626338
-340.529534,400,314.941391
652.588877,400,316.390947
-186.076684,400,317.59316
848.695597,400,322.241092
410.915918,400,323.569732
1718.436051,400,324.96839
-185.157243,400,326.217909
331.744833,400,327.738659
737.888837,400,329.054223
